order_id,required_type,min_capacity_class,location,time_window_start,time_window_end,duration_hours,is_mandatory
ORD-034,excavator,light,site_030,57.2,63.4,6.0,True
ORD-035,excavator,heavy,site_029,34.2,47.6,5.0,False
ORD-035,dump_truck,heavy,site_029,34.2,47.6,5.0,False
ORD-036,dump_truck,light,site_007,35.1,61.9,7.0,False
ORD-037,dump_truck,heavy,site_001,87.3,96.0,3.0,True
ORD-038,dump_truck,light,site_016,83.4,96.0,8.0,False
ORD-039,crane,light,site_031,81.7,96.0,10.0,True
ORD-039,loader,light,site_031,81.7,96.0,10.0,True
ORD-040,crane,light,site_004,9.3,40.5,8.0,True
ORD-040,loader,light,site_004,9.3,40.5,8.0,True
ORD-041,excavator,light,site_025,81.6,95.2,7.0,False
ORD-042,loader,light,site_030,32.0,61.6,25.0,False
ORD-043,loader,light,site_032,11.0,21.7,8.0,True
ORD-044,excavator,medium,site_004,56.0,89.2,33.0,False
ORD-045,crane,light,site_021,11.8,39.8,8.0,True
ORD-046,crane,heavy,site_033,56.8,76.6,10.0,True
ORD-046,loader,heavy,site_033,56.8,76.6,10.0,True
ORD-047,excavator,heavy,site_004,80.7,88.0,6.0,False
ORD-047,dump_truck,heavy,site_004,80.7,88.0,6.0,False
ORD-048,excavator,light,site_012,80.3,96.0,11.0,False
ORD-049,excavator,light,site_016,58.7,75.6,9.0,True
ORD-049,dump_truck,light,site_016,58.7,75.6,9.0,True
ORD-050,dump_truck,medium,site_016,61.0,69.8,4.0,True
ORD-051,excavator,light,site_006,58.0,85.2,5.0,True
ORD-052,crane,light,site_034,81.9,95.4,8.0,True
ORD-053,excavator,light,site_021,57.1,74.0,10.0,False
ORD-054,excavator,medium,site_020,34.8,49.5,9.0,True
ORD-055,dump_truck,light,site_005,8.1,22.0,7.0,False
ORD-056,loader,light,site_007,9.0,41.4,11.0,True
ORD-057,excavator,light,site_017,32.7,50.2,11.0,False
ORD-058,excavator,heavy,site_005,34.3,40.7,6.0,True
ORD-059,excavator,light,site_011,13.3,18.8,5.0,True
ORD-060,crane,medium,site_020,57.5,88.0,7.0,True
ORD-061,dump_truck,light,site_034,57.3,84.5,9.0,False
ORD-062,loader,heavy,site_020,35.6,47.0,6.0,True
ORD-063,excavator,light,site_009,86.4,92.4,5.0,False
ORD-064,dump_truck,light,site_010,38.9,42.0,3.0,True
ORD-065,loader,light,site_022,81.7,93.5,7.0,True
ORD-066,loader,medium,site_017,82.8,96.0,8.0,True
ORD-067,excavator,light,site_004,60.1,71.2,7.0,True
ORD-068,crane,light,site_018,35.6,44.2,8.0,True
ORD-069,crane,medium,site_009,57.0,67.8,10.0,True
ORD-069,loader,medium,site_009,57.0,67.8,10.0,True
ORD-070,excavator,medium,site_029,8.0,33.5,18.0,True
ORD-071,crane,light,site_001,8.4,14.6,6.0,False
ORD-072,dump_truck,medium,site_010,13.2,23.6,6.0,True
ORD-073,loader,light,site_010,8.8,20.9,11.0,True
ORD-074,excavator,heavy,site_024,59.9,71.4,6.0,False
ORD-075,loader,heavy,site_003,57.5,72.9,8.0,True
ORD-076,excavator,medium,site_016,9.9,20.3,10.0,True
ORD-077,excavator,heavy,site_027,33.6,45.3,10.0,True
ORD-078,excavator,heavy,site_016,32.4,65.2,11.0,False
ORD-078,dump_truck,heavy,site_016,32.4,65.2,11.0,False
ORD-079,dump_truck,heavy,site_012,38.5,48.9,5.0,True
ORD-080,excavator,medium,site_022,80.9,94.3,10.0,True
ORD-081,crane,light,site_016,32.5,46.7,9.0,True
ORD-082,loader,light,site_007,33.0,50.8,11.0,True
ORD-083,excavator,light,site_031,58.4,69.5,7.0,False
ORD-084,loader,light,site_030,9.5,30.4,10.0,True
ORD-085,loader,light,site_015,82.5,96.0,9.0,False
ORD-086,loader,light,site_026,33.8,49.3,10.0,False
ORD-087,dump_truck,light,site_018,57.2,71.9,10.0,True
ORD-088,crane,light,site_035,32.4,39.5,6.0,True
ORD-089,excavator,light,site_017,81.0,96.0,6.0,False
ORD-090,dump_truck,light,site_017,14.4,27.7,3.0,True
ORD-091,crane,medium,site_023,8.6,18.9,6.0,True
ORD-092,excavator,light,site_033,8.7,24.0,9.0,True
ORD-093,dump_truck,light,site_013,58.4,65.2,5.0,True
ORD-094,loader,medium,site_001,56.3,71.3,10.0,True
ORD-095,excavator,light,site_024,82.3,96.0,8.0,False
ORD-095,dump_truck,light,site_024,82.3,96.0,8.0,False
ORD-096,dump_truck,medium,site_022,11.4,23.0,4.0,False
ORD-097,loader,medium,site_008,34.5,45.4,9.0,False
ORD-098,excavator,medium,site_020,56.2,72.0,9.0,True
ORD-099,excavator,medium,site_019,38.4,47.5,5.0,False
ORD-100,excavator,medium,site_025,56.6,65.6,8.0,True
ORD-101,dump_truck,light,site_020,57.9,68.2,9.0,True
ORD-102,loader,light,site_020,32.2,58.2,10.0,True
ORD-103,crane,medium,site_021,84.5,91.9,7.0,True
ORD-103,loader,medium,site_021,84.5,91.9,7.0,True
ORD-104,crane,medium,site_014,12.7,23.8,6.0,True
ORD-105,loader,medium,site_011,80.2,96.0,11.0,True
ORD-106,excavator,light,site_022,8.1,17.5,8.0,False
ORD-107,excavator,light,site_020,56.5,71.5,11.0,True
ORD-107,dump_truck,light,site_020,56.5,71.5,11.0,True
ORD-108,excavator,light,site_002,57.5,70.6,6.0,False
ORD-109,dump_truck,medium,site_005,33.5,48.7,7.0,True
ORD-110,dump_truck,medium,site_013,62.0,96.0,34.0,True
ORD-111,excavator,light,site_026,56.2,76.7,7.0,False
ORD-112,loader,heavy,site_001,84.9,96.0,7.0,True
ORD-113,dump_truck,medium,site_007,9.0,25.4,10.0,False
ORD-114,excavator,medium,site_034,56.8,68.6,10.0,False
ORD-115,crane,medium,site_008,33.7,43.8,9.0,False
ORD-116,loader,heavy,site_034,32.8,60.8,6.0,True
ORD-117,crane,medium,site_029,32.9,48.2,11.0,True
ORD-118,crane,heavy,site_029,8.4,18.9,7.0,True
ORD-118,loader,heavy,site_029,8.4,18.9,7.0,True
ORD-119,loader,medium,site_031,58.1,67.9,5.0,False
ORD-120,loader,medium,site_018,32.2,38.4,5.0,True
ORD-121,crane,light,site_016,12.6,18.8,6.0,False
ORD-122,excavator,light,site_019,9.5,36.3,6.0,False
ORD-123,excavator,light,site_035,8.5,25.6,7.0,False
ORD-124,excavator,medium,site_025,81.7,96.0,10.0,False
ORD-125,loader,light,site_005,35.4,42.4,5.0,False
ORD-126,crane,medium,site_035,8.2,26.7,11.0,True
ORD-126,loader,medium,site_035,8.2,26.7,11.0,True
ORD-127,excavator,light,site_027,61.7,74.8,6.0,False
ORD-128,loader,heavy,site_002,36.2,41.4,5.0,True
ORD-129,loader,medium,site_025,56.1,72.3,11.0,False
ORD-130,dump_truck,medium,site_020,9.2,19.3,10.0,False
ORD-131,crane,medium,site_035,34.8,67.8,9.0,True
ORD-131,loader,medium,site_035,34.8,67.8,9.0,True
ORD-132,crane,medium,site_015,81.9,96.0,9.0,False
ORD-133,excavator,light,site_032,8.7,18.4,9.0,True
ORD-134,excavator,medium,site_026,80.1,96.0,5.0,True
ORD-135,loader,heavy,site_009,12.7,19.6,6.0,False
ORD-136,crane,medium,site_026,32.5,53.2,9.0,False
ORD-137,loader,medium,site_006,32.7,42.1,9.0,True
ORD-138,excavator,light,site_030,34.9,66.8,9.0,False
ORD-139,excavator,light,site_021,36.2,43.8,6.0,True
ORD-140,excavator,light,site_025,84.1,90.8,5.0,True
ORD-141,crane,heavy,site_017,38.0,61.5,5.0,True
ORD-141,loader,heavy,site_017,38.0,61.5,5.0,True
ORD-142,crane,medium,site_002,32.3,48.2,11.0,True
ORD-142,loader,medium,site_002,32.3,48.2,11.0,True
ORD-143,excavator,light,site_023,10.6,24.4,9.0,True
ORD-144,excavator,medium,site_003,83.4,91.2,6.0,False
ORD-145,dump_truck,heavy,site_013,85.0,96.0,5.0,False
ORD-146,loader,light,site_016,8.9,28.3,11.0,False
ORD-147,excavator,medium,site_014,56.3,87.6,10.0,True
ORD-147,dump_truck,medium,site_014,56.3,87.6,10.0,True
ORD-148,crane,light,site_024,58.0,71.5,10.0,True
ORD-148,loader,light,site_024,58.0,71.5,10.0,True
ORD-149,loader,medium,site_008,57.5,75.3,10.0,True
ORD-150,excavator,light,site_020,34.8,46.2,9.0,True
