,depot_msk_south,depot_msk_north,depot_msk_east,site_001,site_002,site_003,site_004,site_005,site_006,site_007,site_008,site_009,site_010,site_011,site_012,site_013,site_014,site_015,site_016,site_017,site_018,site_019,site_020,site_021,site_022,site_023,site_024,site_025,site_026,site_027,site_028,site_029,site_030,site_031,site_032,site_033,site_034,site_035
site_008,28.47,28.35,15.91,18.52,23.09,19.98,21.35,15.73,6.13,5.52,0.0,10.8,12.62,21.42,28.62,21.29,27.03,24.48,26.7,29.07,29.66,25.96,26.68,27.99,27.27,40.82,44.49,39.69,25.86,18.62,8.46,14.81,19.31,14.17,17.2,10.13,18.74,6.53
site_009,18.65,36.08,9.7,19.17,23.74,27.71,29.08,18.1,15.51,16.25,11.58,0.0,4.8,11.6,18.8,11.47,17.21,18.53,20.79,21.65,22.23,25.21,24.69,27.24,27.91,34.13,37.07,29.88,18.43,22.74,11.32,8.64,11.88,6.74,9.77,17.86,26.47,17.26
site_010,18.99,39.07,10.34,19.99,24.56,30.7,32.08,19.14,18.5,19.24,14.57,4.34,0.0,11.94,19.13,11.81,17.55,17.95,20.17,22.54,23.13,26.11,25.59,28.14,28.73,35.03,37.96,30.21,19.33,23.64,12.37,9.47,12.78,7.64,10.67,20.85,29.47,20.26
site_011,8.33,46.35,19.42,24.82,29.87,37.97,39.35,28.36,25.77,26.51,21.84,13.42,12.35,0.0,8.48,3.37,6.72,8.03,10.3,12.69,17.09,21.95,18.9,24.38,33.06,34.69,29.58,19.55,14.94,23.3,21.58,12.32,12.13,10.19,7.09,28.12,36.74,27.53
site_012,0.96,51.72,29.95,28.34,33.39,33.64,35.02,28.95,32.37,33.11,28.44,20.02,17.79,7.86,0.0,10.16,3.62,9.14,11.41,13.8,18.2,30.87,25.01,29.37,38.37,35.8,28.71,10.81,17.61,26.82,28.18,15.84,15.65,15.32,12.05,34.72,43.34,34.13
site_013,9.17,46.28,19.35,24.73,29.78,37.9,39.28,24.05,25.7,26.44,21.78,13.35,12.49,1.73,9.32,0.0,7.57,8.88,11.15,13.54,17.35,22.36,19.4,24.3,32.97,34.61,30.43,20.4,14.85,23.22,21.52,12.24,12.04,10.33,7.23,28.06,36.67,27.46
site_014,4.51,53.99,32.22,25.53,30.58,30.84,32.21,26.15,30.86,31.6,26.93,18.51,16.47,6.39,4.35,8.65,0.0,5.98,8.24,10.64,15.04,19.89,16.84,31.64,40.64,38.08,30.98,13.08,14.81,24.02,20.92,13.04,12.84,12.52,9.24,33.21,41.83,32.62
site_015,10.37,41.93,23.72,21.75,26.8,30.98,32.35,23.53,27.63,28.38,23.71,17.71,13.93,8.45,10.21,10.18,6.52,0.0,4.14,6.53,10.93,15.79,12.74,18.33,28.58,26.01,23.42,18.94,10.0,20.24,21.9,10.43,10.2,9.98,8.07,29.99,32.33,29.39
site_016,12.27,43.38,26.87,20.39,25.44,29.62,31.0,22.98,26.3,31.53,26.86,20.86,17.08,9.95,12.11,12.22,8.42,4.45,0.0,3.09,7.99,12.84,9.79,15.39,30.03,27.46,20.16,19.36,8.93,18.88,19.81,12.38,9.95,13.13,12.04,26.2,30.97,32.54
site_017,14.67,40.78,28.41,21.93,23.7,31.16,42.22,24.51,27.82,33.07,28.4,22.41,18.62,12.35,14.5,14.61,10.82,6.46,3.09,0.0,7.38,12.24,9.19,13.61,27.43,24.86,17.55,21.1,8.33,20.42,21.33,14.45,11.48,14.67,14.05,27.72,32.51,34.08
site_018,19.41,32.6,29.6,15.47,17.92,24.7,26.07,23.36,27.46,34.26,29.59,23.59,19.81,16.89,19.25,18.61,15.56,11.2,8.27,7.74,0.0,6.46,3.41,9.01,19.25,16.69,22.35,25.89,2.76,13.96,21.89,14.45,11.48,15.86,18.89,27.44,26.05,35.27
site_019,29.56,27.86,32.7,12.29,13.15,22.34,29.3,20.56,24.66,37.36,32.69,26.7,22.92,25.27,29.71,27.0,20.52,16.16,13.23,12.7,7.44,0.0,4.89,4.69,14.51,11.94,27.78,31.52,7.37,12.43,19.09,16.64,16.81,18.97,22.0,24.64,22.61,38.38
site_020,25.64,30.94,32.25,16.54,16.26,25.78,32.39,24.44,28.54,36.91,32.24,26.24,22.46,18.56,25.79,20.83,17.03,12.67,9.74,9.2,3.94,4.8,0.0,6.53,17.59,15.03,23.86,27.6,5.31,15.03,20.19,16.18,16.36,18.51,21.54,28.51,27.12,37.92
site_021,30.38,25.98,34.41,11.07,11.94,21.13,27.43,23.74,27.85,39.07,34.4,28.4,24.62,26.97,30.53,28.7,22.23,17.87,14.94,14.4,9.14,4.6,6.59,0.0,12.63,10.07,28.6,32.34,11.26,11.21,22.27,18.34,18.52,20.67,23.7,27.82,21.4,48.99
site_022,39.1,18.04,36.25,11.05,6.07,20.05,19.48,27.39,25.44,43.69,27.27,29.23,29.28,31.64,39.25,33.36,41.73,29.4,30.9,28.3,20.68,15.44,18.13,14.0,0.0,7.95,37.32,41.06,22.8,11.41,19.87,21.71,23.18,25.33,28.36,25.42,25.76,41.04
site_023,35.75,21.73,43.57,14.52,14.35,23.75,23.18,31.08,39.41,47.38,41.86,37.56,33.78,36.13,35.91,37.86,38.38,26.06,27.56,24.96,17.34,12.1,14.79,10.65,8.38,0.0,33.98,37.71,19.46,14.65,25.72,27.51,27.68,29.83,32.86,38.38,29.45,44.73
site_024,29.37,46.01,51.93,33.86,38.63,48.03,47.46,41.75,45.85,49.37,44.7,38.71,34.92,30.08,29.52,32.34,32.0,24.18,20.99,18.39,18.16,22.74,19.3,23.66,32.66,30.09,0.0,25.65,19.12,32.34,40.28,30.75,27.78,30.97,31.78,45.83,53.73,50.38
site_025,10.69,54.21,33.98,42.06,46.83,56.23,55.66,38.65,43.16,47.84,39.23,30.8,28.58,18.65,10.84,20.95,13.32,18.85,18.85,19.47,26.03,33.36,27.5,31.86,40.86,38.29,24.69,0.0,27.0,40.54,38.97,25.54,25.35,25.03,23.31,45.51,54.12,47.41
site_026,17.81,38.38,25.66,13.71,18.76,22.94,24.31,21.6,25.7,30.32,25.65,19.66,15.88,14.04,17.64,15.76,13.96,9.5,8.91,8.38,3.15,8.36,5.32,11.16,25.03,22.46,22.99,26.53,0.0,12.19,20.13,11.7,8.73,11.92,14.95,25.68,24.28,31.34
site_027,27.6,20.94,28.26,1.44,7.31,13.7,16.94,13.35,17.45,22.14,19.27,24.16,20.38,22.73,27.17,24.46,23.48,19.89,19.08,20.01,13.74,9.86,14.54,10.82,11.04,14.05,34.55,35.9,12.0,0.0,11.88,11.36,14.27,16.43,19.45,17.43,15.35,23.16
site_028,26.68,19.35,18.31,10.66,15.23,14.78,16.15,7.38,8.45,12.07,9.33,11.29,10.98,21.92,26.83,21.79,22.24,19.85,21.36,22.29,20.95,19.76,20.48,22.21,19.41,24.34,37.71,34.66,19.21,10.76,0.0,10.23,12.71,12.92,15.95,8.42,14.15,13.09
site_029,17.6,24.4,15.86,12.91,18.07,19.83,21.21,13.53,14.79,19.15,14.48,10.8,7.02,12.74,17.17,14.46,13.49,11.1,13.32,14.01,13.59,17.02,17.47,19.05,22.24,24.14,29.43,25.91,10.8,11.81,8.3,0.0,3.39,6.21,8.92,14.69,20.51,20.16
site_030,17.63,24.43,18.72,12.95,18.1,19.86,21.24,14.33,17.64,25.69,21.02,15.03,11.25,12.77,17.2,14.49,13.52,10.68,10.65,12.46,12.04,16.44,15.92,18.47,23.73,25.36,27.88,25.94,9.25,11.84,11.16,3.79,0.0,7.3,10.33,17.54,21.21,26.71
site_031,15.25,26.87,14.89,17.89,22.94,22.31,23.68,15.83,18.81,19.55,14.88,8.88,5.1,9.85,15.39,11.58,13.03,10.68,12.9,15.27,15.86,18.84,18.32,20.87,26.13,27.76,30.69,25.45,12.06,16.37,13.08,5.71,5.51,0.0,4.51,21.16,29.77,20.56
site_032,11.47,41.99,17.5,20.8,25.84,25.75,27.12,19.27,21.42,22.16,17.49,11.5,7.71,6.07,11.61,7.8,9.34,8.0,11.82,14.21,16.47,21.74,21.23,23.78,29.03,30.67,31.1,22.69,13.97,19.28,15.69,8.3,8.11,5.56,0.0,23.77,32.39,23.18
site_033,33.22,19.37,21.2,16.68,21.26,15.51,16.88,5.95,6.77,11.75,11.35,15.55,17.34,26.18,33.37,26.05,28.53,26.14,27.66,28.59,26.98,26.05,26.78,28.23,25.43,30.37,44.01,44.45,25.23,16.78,8.22,16.52,19.01,19.28,20.39,0.0,14.13,11.64
site_034,42.24,6.9,30.75,12.98,14.7,5.1,5.23,7.37,15.79,19.95,18.23,24.57,26.4,35.2,42.39,35.07,31.19,30.35,29.54,30.48,24.2,22.67,25.01,20.96,18.43,29.29,58.66,53.47,22.46,14.01,15.0,19.94,20.53,27.95,30.97,13.01,0.0,24.46
site_035,40.47,25.35,16.0,22.38,26.95,22.41,28.2,19.82,6.75,3.63,6.68,16.41,18.24,27.03,41.43,26.9,32.64,30.1,32.31,34.69,35.28,30.28,31.0,32.31,43.52,44.66,64.65,46.62,31.48,22.48,12.44,22.25,24.93,19.78,22.81,11.53,21.18,0.0
