,depot_msk_south,depot_msk_north,depot_msk_east,site_001,site_002,site_003,site_004,site_005,site_006,site_007,site_008,site_009,site_010,site_011,site_012,site_013,site_014,site_015,site_016,site_017,site_018,site_019,site_020,site_021,site_022,site_023,site_024,site_025,site_026,site_027,site_028,site_029,site_030,site_031,site_032,site_033,site_034,site_035
site_024,0.49,0.69,0.76,0.63,0.63,0.76,0.76,0.78,0.87,0.9,0.81,0.73,0.65,0.62,0.5,0.66,0.53,0.47,0.4,0.35,0.38,0.47,0.38,0.43,0.54,0.5,0.0,0.48,0.39,0.6,0.75,0.62,0.55,0.59,0.65,0.88,0.8,0.94
site_025,0.28,0.81,0.56,0.74,0.75,0.88,0.88,0.84,0.79,0.73,0.68,0.57,0.58,0.4,0.3,0.44,0.32,0.43,0.4,0.43,0.52,0.59,0.5,0.54,0.65,0.62,0.47,0.0,0.53,0.72,0.72,0.54,0.56,0.53,0.48,0.81,0.9,0.74
site_026,0.38,0.56,0.54,0.3,0.39,0.49,0.53,0.45,0.54,0.57,0.48,0.4,0.32,0.33,0.4,0.39,0.32,0.24,0.22,0.21,0.1,0.23,0.15,0.26,0.41,0.37,0.44,0.54,0.0,0.27,0.41,0.29,0.22,0.26,0.32,0.55,0.5,0.61
site_027,0.52,0.39,0.58,0.06,0.19,0.34,0.38,0.32,0.41,0.5,0.43,0.45,0.37,0.45,0.53,0.5,0.45,0.4,0.42,0.43,0.31,0.29,0.3,0.25,0.28,0.29,0.66,0.7,0.26,0.0,0.29,0.3,0.3,0.31,0.37,0.42,0.35,0.54
site_028,0.56,0.46,0.41,0.28,0.37,0.37,0.41,0.22,0.25,0.33,0.27,0.3,0.27,0.45,0.58,0.48,0.53,0.51,0.56,0.57,0.49,0.47,0.47,0.47,0.47,0.52,0.82,0.78,0.43,0.28,0.0,0.31,0.36,0.31,0.37,0.27,0.35,0.38
site_029,0.36,0.56,0.38,0.32,0.4,0.46,0.51,0.33,0.37,0.43,0.34,0.27,0.19,0.29,0.38,0.34,0.3,0.28,0.33,0.35,0.35,0.38,0.37,0.39,0.5,0.51,0.59,0.55,0.27,0.3,0.23,0.0,0.13,0.18,0.23,0.39,0.48,0.47
site_030,0.37,0.56,0.44,0.32,0.4,0.46,0.51,0.37,0.43,0.49,0.4,0.32,0.24,0.3,0.38,0.35,0.3,0.27,0.28,0.31,0.3,0.36,0.33,0.38,0.49,0.48,0.55,0.56,0.23,0.3,0.29,0.12,0.0,0.18,0.24,0.45,0.48,0.53
site_031,0.3,0.61,0.33,0.34,0.43,0.52,0.56,0.38,0.39,0.36,0.28,0.2,0.12,0.23,0.32,0.28,0.27,0.25,0.3,0.34,0.33,0.37,0.34,0.39,0.5,0.49,0.59,0.52,0.27,0.31,0.26,0.13,0.15,0.0,0.11,0.41,0.5,0.41
site_032,0.22,0.67,0.39,0.44,0.53,0.59,0.63,0.45,0.44,0.42,0.33,0.25,0.17,0.15,0.25,0.2,0.21,0.21,0.29,0.35,0.41,0.47,0.44,0.49,0.6,0.6,0.63,0.46,0.34,0.41,0.32,0.21,0.23,0.14,0.0,0.47,0.55,0.46
site_033,0.66,0.48,0.49,0.39,0.48,0.39,0.44,0.17,0.21,0.31,0.3,0.4,0.41,0.55,0.68,0.57,0.64,0.63,0.67,0.68,0.59,0.58,0.58,0.58,0.58,0.63,0.93,0.89,0.54,0.39,0.24,0.42,0.48,0.44,0.5,0.0,0.35,0.32
site_034,0.67,0.17,0.55,0.31,0.32,0.12,0.15,0.17,0.32,0.38,0.35,0.42,0.46,0.56,0.7,0.59,0.66,0.62,0.63,0.64,0.53,0.51,0.52,0.45,0.41,0.44,0.85,0.91,0.47,0.32,0.34,0.46,0.47,0.48,0.54,0.32,0.0,0.39
site_035,0.57,0.4,0.28,0.5,0.59,0.46,0.47,0.35,0.19,0.1,0.18,0.34,0.39,0.49,0.61,0.52,0.61,0.62,0.67,0.71,0.69,0.66,0.66,0.68,0.64,0.64,0.92,0.74,0.63,0.51,0.32,0.48,0.52,0.41,0.47,0.32,0.42,0.0
